Class	OB1_4	OB2_4	OB3_4	OB4_4	OB5_4	IB1_4	IB2_4	IB3_4	IB4_4	IB5_4	COB1_5	COB2_5	COB3_5	COB4_5	COB5_5	TIB1_5	TIB2_5	TIB3_5	TIB4_5	TIB5_5	CIB1_5	CIB2_5	CIB3_5	CIB4_5	CIB5_5	TOB1_5	TOB2_5	TOB3_5	TOB4_5	TOB5_5	COB1_6	COB2_6	COB3_6	COB4_6	COB5_6	TIB1_6	TIB2_6	TIB3_6	TIB4_6	TIB5_6	CIB1_6	CIB2_6	CIB3_6	CIB4_6	CIB5_6	TOB1_6	TOB2_6	TOB3_6	TOB4_6	TOB5_6	COB1_7	COB2_7	COB3_7	COB4_7	COB5_7	TIB1_7	TIB2_7	TIB3_7	TIB4_7	TIB5_7	CIB1_7	CIB2_7	CIB3_7	CIB4_7	CIB5_7	TOB1_7	TOB2_7	TOB3_7	TOB4_7	TOB5_7	COB1_8	COB2_8	COB3_8	COB4_8	COB5_8	TIB1_8	TIB2_8	TIB3_8	TIB4_8	TIB5_8	CIB1_8	CIB2_8	CIB3_8	CIB4_8	CIB5_8	TOB1_8	TOB2_8	TOB3_8	TOB4_8	TOB5_8	COB1_12	COB2_12	COB3_12	COB4_12	COB5_12	TIB1_12	TIB2_12	TIB3_12	TIB4_12	TIB5_12	CIB1_12	CIB2_12	CIB3_12	CIB4_12	CIB5_12	TOB1_12	TOB2_12	TOB3_12	TOB4_12	TOB5_12	SWOB_4	SWIB_4	SWOB_5	SWIB_5	SWOB_6	SWIB_6	SWOB_7	SWIB_7	SWOB_8	SWIB_8	SWOB_12	SWIB_12
Gammaproteobacteria	7722	37262	14152	29812	22734	63198	17729	15977	24551	14635	6740	11710	7732	10070	10858	12723	10362	55306	10019	17652	13245	9938	18021	18552	14315	3618	4812	5523	8541	10846	8786	17697	12057	17868	18880	7324	12193	11399	21283	15995	16359	5060	19756	9478	12676	15651	11043	24415	23377	16350	13763	5107	10393	7017	11579	9010	4860	7504	7723	7880	2933	2410	8505	8399	11617	16065	6485	11040	7507	951	10572	6433	11836	7253	5209	8542	7741	13236	6229	4470	4605	3356	11837	8305	1131	4508	11582	11431	2089	2397	15131	12540	15525	5977	10599	6352	13099	14058	10170	6721	8426	1992	4812	2011	1414	1898	2182	6277	1707	1818	2419	3658	3392	1938	2526	3160	1752	1242	4719	2581	934	1749
Chlamydiae	4139	1986	6379	7743	5654	123	1	0	338	1	11804	11193	6670	7054	4433	8131	31	3834	3663	3159	710	49	6	569	12	10386	13425	6899	3038	7747	7135	9275	9273	4035	1312	6566	149	2871	3249	6716	1084	78	11	6614	4296	2908	327	67	991	6635	186	24	153	256	89	3860	23	97	875	3153	36	12	5	466	47	34	132	61	6	4	5	95	197	13	13	4453	7	11	23	4	1868	190	24	53	7	36	16	8	36	12	2355	285	2320	32	854	7501	121	3948	3330	3450	219	56	1	62	8	35	256	13	13	28	7	0	6	0	4	0	2	0	37	2	9	3
Mollicutes	23	35	0	4	1	2620	1677	5328	490	129	20	24	8	0	0	42	886	25	9	405	164	2208	82	694	358	37	16	9	0	1	265	226	7	2	159	343	6674	145	189	1837	1435	2562	273	77	282	1435	327	376	3	12	1968	528	592	0	0	323	6569	5035	2243	1515	941	1118	1958	3500	1737	2044	2986	2001	1	0	1091	791	226	1	3439	1944	8026	1710	1290	1162	3102	8230	2886	615	2	275	1800	40	0	0	69	33	0	17	5	29	77	0	30	23	2153	11217	3111	4	3	0	8	6898	10	0	0	1	1	19	1	22	1	367	21	3	0	3
Alphaproteobacteria	50	63	78	91	101	722	403	321	500	61	14	37	6	2	8	58	1008	212	24	116	965	1172	214	226	308	176	41	41	25	17	69	60	4	22	107	18	362	90	59	81	3883	486	300	442	78	2322	1370	816	566	442	93	1069	259	26	485	76	256	251	299	340	493	1267	327	360	100	3239	767	146	182	96	253	75	68	21	38	17	43	172	40	21	462	3336	222	840	245	188	1477	956	159	183	588	354	234	1142	418	102	2345	159	79	23	489	555	185	594	389	413	806	1123	494	600	3793	3777	2162	4213	1960	3613	1351	4246	1319	6207	4786	5679
Cyanobacteria	1	6	2	3	2	174	126	13	7	18	0	5	5	0	3	27	29	24	8	8	161	239	102	28	73	2	12	4	5	9	2	6	1	1	10	0	357	38	16	4	328	45	37	4	3	63	57	11	28	211	5	61	4	1	16	2	23	12	7	6	38	116	151	62	9	32	172	67	14	606	24	18	16	154	2	3	2	14	3	3	54	221	35	22	940	259	44	82	95	1907	273	23	14	2455	34	3	26	15	5	2	127	21	12	468	328	720	2855	127	990	466	1022	2026	383	2497	186	2753	162	4184	2571	6241	2140	6231
Flavobacteriia	10	6	3	5	7	125	143	21	81	8	0	5	2	2	5	53	87	21	26	6	137	233	24	55	49	1	1	0	1	1	4	24	7	2	77	17	196	88	8	3	347	79	39	9	8	33	90	9	39	63	23	326	85	7	291	41	282	123	155	70	45	384	162	597	17	68	55	9	62	58	25	8	2	4	10	25	21	35	35	6	196	249	20	193	348	34	10	6	569	79	49	13	46	1160	72	9	313	41	27	5	287	60	17	66	46	165	176	8	119	105	3117	1046	2072	1584	2923	1807	3606	1913	1124	1314	6336	1863
Verrucomicrobiae	0	23	2	0	14	60	54	132	153	4	0	3	1	1	0	104	19	14	69	9	29	22	8	31	64	1	0	2	0	3	4	4	0	2	10	9	676	18	2	0	213	48	57	34	10	43	240	11	17	158	24	404	130	2	17	11	8	47	223	45	6236	4208	1062	122	77	322	5	16	62	126	166	23	68	1	14	9	9	74	45	7	88	103	89	714	192	323	177	220	282	201	386	25	55	115	19	4	9	28	6	3	3	1	24	314	407	340	482	37	489	339	44	54	40	21	12	9	15	17	2145	170	62	89
Deltaproteobacteria	0	2	0	1	0	6	13	0	0	1	1	1	0	0	0	5	2	1	3	1	10	7	1	1	0	1	0	0	0	3	1	1	0	10	16	0	67	1	5	0	26	22	0	9	0	11	14	1	10	10	1	7	1	7	2	0	6	3	2	3	8	51	21	8	1	28	28	12	28	28	348	33	12	2	3	6	10	142	16	4	10	88	3	61	53	63	6	36	2439	493	84	6	2	12	3	1	2	5	1	0	4	0	1	139	132	129	104	17	105	78	1	0	2	2	7	7	3	8	424	21	4	12
Acidimicrobiia	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	2	1	3	1	5	5	0	1	0	0	0	0	0	1	0	3	1	0	8	0	96	3	0	0	4	2	0	2	0	3	4	1	3	17	0	4	6	0	0	0	4	0	0	4	4	12	24	3	0	0	8	5	0	42	7	1	5	2	4	2	1	7	8	5	6	55	2	10	105	26	3	7	3	87	36	2	0	11	1	0	2	1	2	0	3	1	0	146	272	305	323	6	377	342	4	51	8	60	5	68	10	142	1686	633	29	280
Holophagae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	22	1	0	0	3	7	1	0	0	0	0	1	0	3	0	1	0	0	0	0	1	1	0	0	1	540	8	1	0	0	4	4	1	6	6	0	6	1	1	0	0	4	5	2	2	1	3	2	89	19	1	6	5	15	17	1	0	11	6	1	1	1	0	0	3	0	1	182	348	200	1040	24	747	144	0	0	0	0	0	1	0	0	180	8	1	0
