Phylum	OB1_4	OB2_4	OB3_4	OB4_4	OB5_4	IB1_4	IB2_4	IB3_4	IB4_4	IB5_4	COB1_5	COB2_5	COB3_5	COB4_5	COB5_5	TIB1_5	TIB2_5	TIB3_5	TIB4_5	TIB5_5	CIB1_5	CIB2_5	CIB3_5	CIB4_5	CIB5_5	TOB1_5	TOB2_5	TOB3_5	TOB4_5	TOB5_5	COB1_6	COB2_6	COB3_6	COB4_6	COB5_6	TIB1_6	TIB2_6	TIB3_6	TIB4_6	TIB5_6	CIB1_6	CIB2_6	CIB3_6	CIB4_6	CIB5_6	TOB1_6	TOB2_6	TOB3_6	TOB4_6	TOB5_6	COB1_7	COB2_7	COB3_7	COB4_7	COB5_7	TIB1_7	TIB2_7	TIB3_7	TIB4_7	TIB5_7	CIB1_7	CIB2_7	CIB3_7	CIB4_7	CIB5_7	TOB1_7	TOB2_7	TOB3_7	TOB4_7	TOB5_7	COB1_8	COB2_8	COB3_8	COB4_8	COB5_8	TIB1_8	TIB2_8	TIB3_8	TIB4_8	TIB5_8	CIB1_8	CIB2_8	CIB3_8	CIB4_8	CIB5_8	TOB1_8	TOB2_8	TOB3_8	TOB4_8	TOB5_8	COB1_12	COB2_12	COB3_12	COB4_12	COB5_12	TIB1_12	TIB2_12	TIB3_12	TIB4_12	TIB5_12	CIB1_12	CIB2_12	CIB3_12	CIB4_12	CIB5_12	TOB1_12	TOB2_12	TOB3_12	TOB4_12	TOB5_12	SWOB_4	SWIB_4	SWOB_5	SWIB_5	SWOB_6	SWIB_6	SWOB_7	SWIB_7	SWOB_8	SWIB_8	SWOB_12	SWIB_12
Proteobacteria	7772	37330	14230	29904	22835	63941	18152	16302	25055	14699	6756	11751	7738	10073	10867	12796	11382	55542	10056	17779	14236	11134	18248	18785	14624	3796	4853	5564	8566	10866	8856	17759	12061	17900	19010	7343	12773	11501	21360	16081	20299	5611	20062	9940	12754	18000	12465	25244	23969	16808	13867	6491	10654	7053	12074	9086	5128	7762	8026	8228	3435	3744	8894	8768	11720	19350	7296	11202	7811	1095	11177	6543	11937	7277	5256	8574	7822	13560	6290	4496	5089	6834	12104	9258	1457	4849	13079	12425	4788	3158	15837	12906	15762	7144	11026	6471	15756	14233	10259	6745	8934	2550	5000	2809	2006	2497	3144	7423	2371	2557	6221	7466	5718	6166	4496	6785	3110	5528	6739	8864	5739	7500
Chlamydiae	4139	1986	6379	7743	5654	123	1	0	338	1	11804	11193	6670	7054	4433	8131	31	3834	3663	3159	710	49	6	569	12	10386	13425	6899	3038	7747	7135	9275	9273	4035	1312	6566	149	2871	3249	6716	1084	78	11	6614	4296	2908	327	67	991	6635	186	24	153	256	89	3860	23	97	875	3153	36	12	5	466	47	34	132	61	6	4	5	95	197	13	13	4453	7	11	23	4	1868	190	24	53	7	36	16	8	36	12	2355	285	2320	32	854	7501	121	3948	3330	3450	219	56	1	62	8	35	256	13	13	28	7	0	6	0	4	0	2	0	37	2	9	3
Tenericutes	23	35	0	4	1	2620	1677	5328	490	129	20	24	8	0	0	42	886	25	9	405	164	2208	82	694	358	37	16	9	0	1	265	226	7	2	159	343	6674	145	189	1837	1435	2562	273	77	282	1435	327	376	3	12	1968	528	592	0	0	323	6569	5035	2243	1515	941	1118	1958	3500	1737	2044	2986	2001	1	0	1091	791	226	1	3439	1944	8026	1710	1290	1162	3102	8230	2886	615	2	275	1800	40	0	0	69	33	0	17	5	29	77	0	30	23	2153	11217	3111	4	3	0	8	6898	10	0	0	1	1	19	1	22	1	367	21	3	0	3
Cyanobacteria	1	6	2	3	2	174	126	13	7	18	0	5	5	0	3	27	29	24	8	8	161	239	102	28	73	2	12	4	5	9	2	6	1	1	10	0	357	38	16	4	328	45	37	4	3	63	57	11	28	211	5	61	4	1	16	2	23	12	7	6	38	116	151	62	9	32	172	67	14	606	24	18	16	154	2	3	2	14	3	3	54	221	35	22	940	259	44	82	95	1907	273	23	14	2455	34	3	26	15	5	2	127	21	12	468	328	720	2855	127	990	466	1022	2026	383	2497	186	2753	162	4184	2571	6241	2140	6231
Bacteroidetes	23	8	16	19	25	166	182	85	155	12	1	6	4	2	7	82	137	144	39	7	255	333	81	214	119	3	9	3	4	3	4	24	8	3	100	17	213	102	8	4	515	118	168	53	59	599	96	203	60	81	52	327	139	19	294	41	295	125	157	70	62	524	231	797	83	338	167	63	62	78	34	8	6	15	10	25	21	45	37	6	204	284	25	265	370	43	34	33	578	136	73	15	124	1303	103	9	348	81	84	5	322	62	33	138	76	213	259	85	168	144	3119	1063	2078	1621	2924	1855	3611	2544	1159	1438	6345	1951
Verrucomicrobia	0	23	2	0	14	71	75	132	154	4	0	3	1	1	0	106	24	15	70	9	40	47	8	36	70	1	0	2	0	4	4	4	0	3	11	9	789	20	3	0	213	68	57	36	10	43	240	11	17	159	24	404	130	2	18	11	11	47	223	47	6244	4330	1083	147	81	329	23	16	75	137	166	23	68	1	15	9	10	74	45	7	93	142	91	735	216	359	179	220	292	232	391	28	55	128	22	4	16	28	7	3	7	3	26	342	436	360	497	43	507	356	57	128	57	190	12	19	15	75	2184	254	114	118
Planctomycetes	0	2	0	1	3	13	11	2	1	0	0	1	2	0	0	6	10	1	15	0	15	25	12	7	14	2	3	2	1	2	0	2	1	0	7	0	210	4	2	0	23	9	0	9	0	0	19	4	4	43	2	10	11	1	2	0	1	3	7	7	11	80	56	20	2	3	18	3	3	126	36	11	21	3	12	2	14	19	25	14	13	54	1	46	184	267	17	16	99	201	228	28	1	21	3	0	4	6	2	1	8	1	1	655	547	477	629	25	489	387	11	25	5	70	9	57	6	43	3073	138	17	20
Bacteria (unclassified)	2	7	0	0	0	30	3	23	12	0	18	0	0	0	3	0	0	0	0	0	3	3	15	9	80	3	1	0	0	1	5	0	0	0	0	3	7	6	0	1	746	8	78	1	14	836	119	469	2	5	45	121	81	0	13	14	27	2013	24	18	41	38	14	55	2	259	0	0	0	0	323	5	38	12	2227	11	13	108	0	0	86	8	123	19	1	19	179	408	0	0	34	4	22	54	3	1	2	1	0	0	247	23	55	31	0	28	0	13	0	0	16	20	22	12	18	48	43	51	3	39	55	34
Actinobacteria	0	0	0	0	1	7	13	2	2	2	0	0	0	0	1	17	5	18	3	3	22	22	11	11	5	0	1	0	0	1	0	6	2	1	16	0	109	13	4	1	48	30	5	3	1	25	35	2	12	22	0	25	40	0	9	0	13	6	3	5	5	22	31	4	5	10	21	22	0	42	9	2	15	2	4	2	3	10	9	6	13	86	9	10	105	26	7	20	3	87	36	2	25	11	5	1	8	1	3	0	9	4	0	148	273	306	323	19	378	343	4	71	9	66	5	70	10	150	1810	695	32	287
Acidobacteria	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	48	1	0	0	3	7	1	0	0	0	0	1	0	4	0	1	0	0	0	0	2	1	0	0	1	541	13	2	0	0	5	5	1	8	7	2	9	1	1	1	3	4	5	4	2	8	5	3	95	29	3	7	6	27	24	3	0	13	6	1	1	1	0	0	4	0	1	261	403	271	1101	28	789	184	0	0	0	0	0	1	0	0	300	11	1	0
Marinimicrobia (SAR406 clade)	0	0	0	0	0	8	18	0	3	2	0	0	0	0	0	0	0	0	0	1	23	50	4	6	5	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	55	0	4	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	9	10	5	0	0	0	1	0	0	0	0	0	2	1	0	16	84	6	1	0	0	3	24	0	0	0	0	1	0	0	0	0	0	2	0	24	8	1	0	0	0	0	5	0	2	41	356	27	430	5	85	7	178	67	1870	61	509
Lentisphaerae	0	1	2	0	1	2	55	0	3	0	0	0	0	0	0	2	1	0	7	0	0	0	0	6	2	0	0	0	0	1	0	0	0	0	2	0	216	0	0	0	13	24	0	0	0	0	0	0	0	11	5	2	0	1	11	0	1	1	14	11	437	571	54	212	7	13	0	3	42	4	2	13	1	0	13	18	12	18	37	2	4	12	1	73	23	105	2	2	66	11	52	3	0	28	2	2	4	6	1	0	0	1	0	8	5	7	9	0	8	13	4	0	0	2	2	0	0	1	8	1	2	2
Firmicutes	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	7	0	1	4	2	2	1	1	2	1	0	0	0	0	0	0	0	1	0	2	9	1	0	3	12	0	0	0	0	15	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	1	0	0	81	2	7	0	7	3	1	20	0	0	1	388	6	34	0	0	2	0	1	0	0	0	4	2	10	0	0	1	4	1	5	581	0	4	0	0	1	4	0	0	1	0	0	0	1	0	0	1	52	1	3	1
SBR1093	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	5	10	1	0	11	12	5	1	0	2	23	3	0	1	0	0	0	0	0	0	1	1	0	76	19	86	45	2	40	23	0	4	1	1	1	1	0	0	20	156	2	46
Nitrospirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	108	18	82	28	1	47	25	0	0	0	0	0	0	0	1	13	0	0	0
Gemmatimonadetes	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	9	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	4	3	3	1	0	0	0	0	1	1	0	0	0	1	0	0	3	2	0	0	15	0	2	7	15	1	1	1	7	4	0	0	1	1	0	1	0	0	0	0	1	0	33	10	29	23	2	7	22	0	0	0	0	0	0	0	0	69	9	1	2
Spirochaetae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
