	OB1_4	OB2_4	OB3_4	OB4_4	OB5_4	IB1_4	IB2_4	IB3_4	IB4_4	IB5_4	COB1_5	COB2_5	COB3_5	COB4_5	COB5_5	TIB1_5	TIB2_5	TIB3_5	TIB4_5	TIB5_5	CIB1_5	CIB2_5	CIB3_5	CIB4_5	CIB5_5	TOB1_5	TOB2_5	TOB3_5	TOB4_5	TOB5_5	COB1_6	COB2_6	COB3_6	COB4_6	COB5_6	TIB1_6	TIB2_6	TIB3_6	TIB4_6	TIB5_6	CIB1_6	CIB2_6	CIB3_6	CIB4_6	CIB5_6	TOB1_6	TOB2_6	TOB3_6	TOB4_6	TOB5_6	COB1_7	COB2_7	COB3_7	COB4_7	COB5_7	TIB1_7	TIB2_7	TIB3_7	TIB4_7	TIB5_7	CIB1_7	CIB2_7	CIB3_7	CIB4_7	CIB5_7	TOB1_7	TOB2_7	TOB3_7	TOB4_7	TOB5_7	COB1_8	COB2_8	COB3_8	COB4_8	COB5_8	TIB1_8	TIB2_8	TIB3_8	TIB4_8	TIB5_8	CIB1_8	CIB2_8	CIB3_8	CIB4_8	CIB5_8	TOB1_8	TOB2_8	TOB3_8	TOB4_8	TOB5_8	COB1_12	COB2_12	COB3_12	COB4_12	COB5_12	TIB1_12	TIB2_12	TIB3_12	TIB4_12	TIB5_12	CIB1_12	CIB2_12	CIB3_12	CIB4_12	CIB5_12	TOB1_12	TOB2_12	TOB3_12	TOB4_12	TOB5_12	SWOB_4	SWIB_4	SWOB_5	SWIB_5	SWOB_6	SWIB_6	SWOB_7	SWIB_7	SWOB_8	SWIB_8	SWOB_12	SWIB_12
zOTU1	2288	10199	1871	3751	4471	85	5	2	291	140	2554	6606	950	1767	1675	9562	87	41689	5008	6315	57	6	13	110	664	1134	2071	508	259	2859	3541	2389	1994	427	1793	4456	174	3057	7535	9021	221	34	1	299	118	37	54	177	214	398	734	1354	6600	2258	4417	1271	12	1377	1397	3490	59	1	1	2323	13	191	871	432	9	1	2662	2423	8253	1125	43	2579	6	2313	306	740	797	27	17	59	0	16	82	51	3	1	10523	6281	7677	2259	3429	3065	52	6105	3828	3500	180	1	37	0	0	0	2	70	0	2	0	0	0	0	1	0	0	0	1	0	0	0
zOTU2	2024	6820	5185	11132	7498	93	1	5	1089	29	1849	1181	3406	3814	4406	78	0	217	1189	799	51	0	94	1562	759	914	920	2420	3812	3425	2316	6495	4800	7822	790	488	27	987	4298	1603	9	2	2	1733	2866	4333	1658	12020	9813	7151	6283	254	381	1329	1116	2128	9	592	288	1262	57	0	62	484	1971	7159	468	5171	2651	1	2824	418	384	1987	11	1680	4	219	1360	1379	150	13	391	974	4	1749	1308	2461	0	1	364	643	2118	959	1924	437	9	762	1329	213	1	2	0	0	0	1	3	2134	3	0	0	1	0	1	1	0	0	0	0	0	0	0
zOTU7	72	668	54	326	199	25213	3175	5623	10478	6578	18	98	5	24	33	165	1267	1144	326	3678	5915	1426	5968	2458	4188	19	33	1	21	70	13	40	14	11	37	40	8	146	33	313	715	898	25	238	37	288	2807	113	160	271	2	119	22	57	154	13	1	24	76	58	19	21	3	411	22	35	701	77	11	0	42	17	34	30	1	36	2	375	49	27	234	35	5	2	0	3	558	370	0	0	133	397	253	53	273	53	42	154	192	122	751	0	60	0	0	0	0	153	0	0	0	0	0	0	0	0	0	1	0	0	0	0
zOTU9	73	244	81	264	183	21576	58	4965	8185	5211	33	65	27	53	67	157	31	924	379	2604	5464	21	4585	2258	2913	19	45	11	20	83	38	52	25	23	12	43	8	109	71	280	568	4	30	198	30	63	1202	130	91	799	26	131	35	59	89	14	0	63	79	54	15	0	3	298	8	17	445	37	11	0	64	39	53	50	1	92	1	190	54	34	86	1	2	11	0	2	605	427	0	0	88	205	177	82	194	74	7	189	147	71	490	1	61	1	0	0	0	214	0	1	0	0	0	0	0	0	0	0	2	0	0	0
zOTU10	501	2095	353	621	956	4	0	0	0	12	576	1692	156	312	235	2078	7	7500	962	745	12	0	1	1	63	351	601	111	49	676	464	628	255	89	354	1035	32	327	1458	1382	61	1	1	2	2	12	0	11	43	90	107	372	1492	458	1018	272	1	260	232	688	0	0	0	13	0	2	189	91	0	0	441	530	1585	153	4	524	0	123	52	82	182	12	1	1	0	0	1	0	0	1	1600	1182	1307	486	635	670	2	886	737	550	57	0	9	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU11	456	1419	1073	2632	1569	22	3	1	303	8	407	246	792	853	987	20	0	32	287	173	11	0	26	494	221	255	179	587	936	773	519	1589	1141	1772	198	103	8	259	1187	329	11	0	3	509	758	1179	315	2841	2450	1668	1485	45	52	302	241	477	3	116	72	252	12	0	11	154	480	1698	85	1380	614	0	704	78	97	384	3	397	7	48	318	311	28	9	133	280	1	432	345	757	1	0	79	135	494	209	439	90	4	184	274	38	1	0	1	0	0	0	1	577	2	0	0	0	0	0	0	0	0	0	0	0	1	0
zOTU12	388	1488	1139	2413	1595	16	1	0	234	16	377	250	887	912	1239	16	3	33	249	188	26	0	32	446	195	187	190	610	1029	827	525	1660	1127	2049	185	100	22	293	974	331	1	0	4	429	780	1274	553	3202	2608	1884	1672	73	112	310	224	517	32	180	74	263	26	0	15	76	536	1629	119	1387	639	0	756	106	121	547	7	424	9	77	363	330	30	8	85	282	1	435	193	259	0	0	94	165	504	220	545	104	102	207	275	33	3	0	2	0	0	0	0	345	0	0	0	0	1	0	0	0	0	0	0	0	0	0
zOTU13	485	2172	1261	2880	1822	19	0	2	168	2	406	288	693	935	1076	24	75	43	255	141	9	1	25	90	92	174	234	473	925	998	560	1569	1047	1633	155	122	14	210	910	344	0	0	1	257	373	748	577	2304	1999	1782	1220	76	84	270	324	478	15	78	81	397	18	2	5	80	262	1596	129	839	552	0	508	82	82	572	38	370	251	41	199	283	18	3	117	57	0	340	354	836	0	0	83	149	399	250	445	116	297	146	285	43	1	0	0	0	0	0	1	191	0	0	0	0	0	0	0	0	0	0	0	0	0	1
zOTU14	201	3937	258	575	202	34	29	10	2	1118	28	139	19	22	61	18	504	211	6	821	74	171	93	23	1993	53	103	42	27	40	19	180	31	13	1334	37	12	366	68	501	103	0	7	5	2491	576	730	180	684	116	2	71	82	35	218	7	2	154	28	66	156	1	262	33	1519	275	1593	136	72	0	7	36	18	38	9	9	0	16	4	15	1038	3	724	28	0	16	2463	1770	0	0	182	470	503	22	408	53	75	125	34	133	125	11	47	0	0	0	0	170	0	0	0	0	0	0	0	0	0	1	0	0	0	0
zOTU15	139	854	491	1201	733	105	4	5	360	15	68	229	169	414	149	45	528	131	433	84	54	33	117	406	111	47	67	253	413	423	106	1172	558	1738	714	318	38	416	2574	104	77	0	13	764	615	184	603	715	1768	684	410	69	19	621	409	1596	173	101	145	195	5	0	57	234	340	516	565	206	263	1	109	160	14	1147	6	266	8	65	288	78	78	11	688	447	0	91	2844	1924	1	0	61	140	169	464	189	85	39	79	331	46	24	0	9	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	2	0
zOTU16	90	456	120	503	924	30	1	4	114	120	136	351	47	189	62	81	1	850	75	472	3	0	1	17	175	256	164	33	252	109	156	428	320	250	57	168	3	1990	178	858	19	0	0	60	468	362	197	18	175	165	307	912	113	6	1300	917	1	565	1033	39	0	0	283	3	521	582	7	22	158	0	178	3	89	131	0	54	0	2032	478	252	595	14	4	3	0	38	48	36	0	0	173	16	441	8	128	5	6	124	108	78	20	1	0	0	0	0	0	101	2	0	0	0	0	0	0	0	0	0	2	0	0	0
zOTU17	0	1	0	1	1	12	10021	1	1	0	0	0	0	0	0	1	3766	16	1	1	4	4017	11	1	0	0	0	0	0	0	1	0	0	0	52	0	95	0	0	0	1	2062	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	2	0	82	0	0	0	0	0	0	1	0	0	12	14	0	2	7	9	19	1	0	1	75	0	0	0	0	1	0	0	0	2	0	0	1	0	2	169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
zOTU18	131	355	270	563	519	89	0	1	226	5	113	96	245	262	128	20	45	20	266	97	8	1	4	432	145	73	60	204	184	146	161	412	333	970	376	67	5	291	674	110	4	0	1	410	587	515	38	1155	1437	376	550	20	32	338	173	477	50	208	56	91	0	0	10	78	354	434	54	591	223	0	291	50	34	355	4	215	7	121	215	122	30	1	37	339	1	105	332	486	0	1	44	91	155	168	168	34	153	240	243	29	6	0	0	0	0	1	0	310	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Other (Endozoicomonas)	663	6498	1927	2699	2042	1720	1290	144	656	860	167	450	333	508	733	292	2735	418	448	967	854	733	139	610	1143	92	123	211	419	399	215	954	407	1057	10833	231	3653	1719	1075	583	674	757	34	575	2318	1114	1854	1372	1647	580	842	1126	356	967	1699	705	730	796	419	712	125	224	153	167	1488	678	1022	553	547	2	507	625	189	593	107	797	329	477	440	278	886	1380	585	388	5	204	2104	1691	1	2	1015	2526	1136	334	1634	580	3178	1140	804	478	272	18	24	4	0	2	2	254	0	0	2	2	1	4	0	7	1	2	2	2	6	5
