	Sample	Richness	Shannon	Chao1	InvSimpson	Sampletype
OB1_4	OB1_4	53.8	2.205041762	64.62770851	5.264819945	OC
OB2_4	OB2_4	57.82	2.632562169	85.67908333	8.173767684	OC
OB3_4	OB3_4	52.29	2.295596351	65.60746825	5.719571689	OC
OB4_4	OB4_4	48.45	2.339621095	60.87279762	6.378740726	OC
OB5_4	OB5_4	53.56	2.381255373	70.47703999	6.831402489	OC
IB1_4	IB1_4	94.91	1.581517574	194.6213095	3.478129976	IC
IB2_4	IB2_4	157.89	1.91872541	247.133626	3.462309312	IC
IB3_4	IB3_4	53.53	1.617545341	87.24389834	4.325810359	IC
IB4_4	IB4_4	61.64	1.854099475	99.9532582	3.728094714	IC
IB5_4	IB5_4	60.65	1.537463065	99.49442531	3.059841079	IC
COB1_5	COB1_5	30.91	1.758383126	36.45941667	4.101255263	OC
COB2_5	COB2_5	46.61	1.905846859	67.22647222	4.742564295	OC
COB3_5	COB3_5	29.81	1.939948586	36.17306349	4.737574486	OC
COB4_5	COB4_5	32.09	2.132917472	38.98871429	6.088290635	OC
COB5_5	COB5_5	39.83	2.212803264	50.09448413	6.518909098	OC
TIB1_5	TIB1_5	87.46	1.486701508	137.825913	2.935811215	IO
TIB2_5	TIB2_5	122.16	2.700450241	164.6529074	7.754458466	IO
TIB3_5	TIB3_5	58.93	1.209395275	95.61134907	1.95671697	IO
TIB4_5	TIB4_5	103.29	2.167863649	179.4439092	4.843470066	IO
TIB5_5	TIB5_5	59.08	2.313070205	87.99573377	6.318244251	IO
CIB1_5	CIB1_5	216.3	2.141449868	309.9310841	3.714200357	IC
CIB2_5	CIB2_5	238.58	2.57964333	309.1481749	6.078028631	IC
CIB3_5	CIB3_5	95.65	1.490147149	153.4574934	3.337495959	IC
CIB4_5	CIB4_5	90.81	2.01357259	166.7708614	3.875714083	IC
CIB5_5	CIB5_5	112.3	2.495603354	166.6485842	6.931401616	IC
TOB1_5	TOB1_5	37.61	1.638541722	48.45494444	3.120642886	OI
TOB2_5	TOB2_5	40.58	1.561320757	63.58671878	3.054624492	OI
TOB3_5	TOB3_5	46.15	1.870245398	68.56777808	3.943916298	OI
TOB4_5	TOB4_5	39.63	2.076058481	50.93833153	5.215054559	OI
TOB5_5	TOB5_5	42.17	1.913139806	59.54537013	4.293365922	OI
COB1_6	COB1_6	45.61	2.105743751	57.10680483	5.901123244	OC
COB2_6	COB2_6	52.08	2.294887235	75.99453571	6.39937313	OC
COB3_6	COB3_6	32.09	2.073715805	39.97749206	5.786093003	OC
COB4_6	COB4_6	32.65	2.122233826	45.18140476	5.54648523	OC
COB5_6	COB5_6	112.14	2.722386703	183.3804604	8.014143671	OC
TIB1_6	TIB1_6	45.79	1.839372215	56.92030051	3.996420936	IO
TIB2_6	TIB2_6	421.26	3.234851295	528.1313197	7.217063629	IO
TIB3_6	TIB3_6	106.12	2.845367295	145.0363304	9.626604888	IO
TIB4_6	TIB4_6	73.77	2.332314409	114.7208629	6.603939116	IO
TIB5_6	TIB5_6	47.77	2.18655181	62.8746829	5.299303035	IO
CIB1_6	CIB1_6	239.74	2.45626989	338.7166799	3.684753228	IC
CIB2_6	CIB2_6	187.56	2.543170133	212.1684608	5.851488625	IC
CIB3_6	CIB3_6	60.8	0.395748762	102.748379	1.125073466	IC
CIB4_6	CIB4_6	59.52	2.040479814	89.72523421	4.39204038	IC
CIB5_6	CIB5_6	44.46	2.557312187	61.04189791	8.676771206	IC
TOB1_6	TOB1_6	104.98	2.966456958	139.4341865	12.6104219	OI
TOB2_6	TOB2_6	202.55	3.23662695	254.507613	12.42818517	OI
TOB3_6	TOB3_6	64.39	2.061367791	100.1808317	4.083246732	OI
TOB4_6	TOB4_6	103.85	2.329827255	180.9459544	5.20781553	OI
TOB5_6	TOB5_6	171.17	2.452095723	280.7430712	6.040217413	OI
COB1_7	COB1_7	55.34	2.167596493	78.61759199	5.094977174	OC
COB2_7	COB2_7	193.86	3.476380221	244.7913293	15.89130558	OC
COB3_7	COB3_7	88.06	1.991612744	98.19890092	2.978210154	OC
COB4_7	COB4_7	59.29	2.47532207	69.42827764	6.691806502	OC
COB5_7	COB5_7	154.87	2.795315598	214.7836447	6.422295946	OC
TIB1_7	TIB1_7	63.91	2.514421544	83.12736408	8.364142469	IO
TIB2_7	TIB2_7	117.29	1.786570463	161.3910795	2.828522191	IO
TIB3_7	TIB3_7	98.71	2.534425346	139.1828494	6.290325648	IO
TIB4_7	TIB4_7	125.54	2.725861096	178.0692408	8.709956713	IO
TIB5_7	TIB5_7	122.9	2.534848539	181.9454261	6.762473108	IO
CIB1_7	CIB1_7	148.64	2.564860793	227.2170502	5.191814569	IC
CIB2_7	CIB2_7	424.15	3.930406246	530.4581332	13.66706776	IC
CIB3_7	CIB3_7	324.68	2.310079889	494.7446828	3.205411154	IC
CIB4_7	CIB4_7	173.92	2.531431926	268.6667928	6.197283118	IC
CIB5_7	CIB5_7	76.58	2.428859913	116.7438716	6.960531313	IC
TOB1_7	TOB1_7	126.95	2.652114934	173.0966878	7.029575208	OI
TOB2_7	TOB2_7	179.44	2.87089527	220.1792377	8.331565625	OI
TOB3_7	TOB3_7	107.55	2.217073621	164.376808	5.022079917	OI
TOB4_7	TOB4_7	160.83	3.002689497	203.6718805	7.386961708	OI
