"","Sample","mean","sd","measure"
"OB1_4","OB1_4",19.2586628476758,1.60335937772643,"Inverse Simpson"
"OB2_4","OB2_4",24.2691496205885,2.12343010258064,"Inverse Simpson"
"OB3_4","OB3_4",19.0034320994107,1.86708264665201,"Inverse Simpson"
"OB4_4","OB4_4",18.8336377224664,1.6068097549052,"Inverse Simpson"
"OB5_4","OB5_4",20.1304555318895,1.56078819270094,"Inverse Simpson"
"IB1_4","IB1_4",22.4667777398494,3.04322082112874,"Inverse Simpson"
"IB2_4","IB2_4",35.4409997165574,4.26538626895546,"Inverse Simpson"
"IB3_4","IB3_4",12.2077599467486,1.00188095661663,"Inverse Simpson"
"IB4_4","IB4_4",18.0263074220394,2.01722174289579,"Inverse Simpson"
"IB5_4","IB5_4",13.3935619713114,1.40630423816247,"Inverse Simpson"
"COB1_5","COB1_5",10.4237509353059,0.832280725292841,"Inverse Simpson"
"COB2_5","COB2_5",14.4343194532429,1.36536351721498,"Inverse Simpson"
"COB3_5","COB3_5",12.0341538027065,0.868842755328718,"Inverse Simpson"
"COB4_5","COB4_5",13.5311308154866,0.872937871461337,"Inverse Simpson"
"COB5_5","COB5_5",15.0410158974642,1.12751519503366,"Inverse Simpson"
"TIB1_5","TIB1_5",17.0933579018202,2.27300049531705,"Inverse Simpson"
"TIB2_5","TIB2_5",38.1579976848892,4.47259993146972,"Inverse Simpson"
"TIB3_5","TIB3_5",12.1795377186685,1.47535595159607,"Inverse Simpson"
"TIB4_5","TIB4_5",26.0377984749441,2.7908635708734,"Inverse Simpson"
"TIB5_5","TIB5_5",20.7853236305008,1.83907111112409,"Inverse Simpson"
"CIB1_5","CIB1_5",49.7808130783026,7.51357934187163,"Inverse Simpson"
"CIB2_5","CIB2_5",61.1459760963853,7.73584529400137,"Inverse Simpson"
"CIB3_5","CIB3_5",17.9265033501362,2.23382169265742,"Inverse Simpson"
"CIB4_5","CIB4_5",23.9288864081515,3.20447140424381,"Inverse Simpson"
"CIB5_5","CIB5_5",33.5549666802331,3.5852542924594,"Inverse Simpson"
"TOB1_5","TOB1_5",12.133871469034,1.10880212148697,"Inverse Simpson"
"TOB2_5","TOB2_5",11.2532473762297,1.06056844031069,"Inverse Simpson"
"TOB3_5","TOB3_5",14.9104539100335,1.36565015328553,"Inverse Simpson"
"TOB4_5","TOB4_5",14.3384208115023,1.2036694332436,"Inverse Simpson"
"TOB5_5","TOB5_5",13.4365103828826,1.1822655066694,"Inverse Simpson"
"COB1_6","COB1_6",15.3064099058737,1.0795328843813,"Inverse Simpson"
"COB2_6","COB2_6",19.1459263175511,1.45497343600412,"Inverse Simpson"
"COB3_6","COB3_6",13.1451493018527,0.853328442258517,"Inverse Simpson"
"COB4_6","COB4_6",14.0916420008262,1.01225999308384,"Inverse Simpson"
"COB5_6","COB5_6",37.5451176357337,3.52253821957058,"Inverse Simpson"
"TIB1_6","TIB1_6",13.4693414835993,1.42504283203462,"Inverse Simpson"
"TIB2_6","TIB2_6",107.12246121834,14.4291695759541,"Inverse Simpson"
"TIB3_6","TIB3_6",37.7626717425401,4.05977247968406,"Inverse Simpson"
"TIB4_6","TIB4_6",21.86728568778,1.8029422355217,"Inverse Simpson"
"TIB5_6","TIB5_6",16.8923394848028,1.62593434374841,"Inverse Simpson"
"CIB1_6","CIB1_6",61.9474784596386,8.73327225713054,"Inverse Simpson"
"CIB2_6","CIB2_6",46.7025384804547,4.80103626162691,"Inverse Simpson"
"CIB3_6","CIB3_6",8.10465905311579,1.25809248155133,"Inverse Simpson"
"CIB4_6","CIB4_6",18.8537673506863,1.73737077473816,"Inverse Simpson"
"CIB5_6","CIB5_6",20.8704972955802,1.52527629926738,"Inverse Simpson"
"TOB1_6","TOB1_6",37.7356297304756,3.27283849059806,"Inverse Simpson"
"TOB2_6","TOB2_6",61.0315633026843,6.54934412621736,"Inverse Simpson"
"TOB3_6","TOB3_6",21.0930158002351,2.29336786303081,"Inverse Simpson"
"TOB4_6","TOB4_6",30.4068359683382,3.14110335386885,"Inverse Simpson"
"TOB5_6","TOB5_6",43.9652299293015,5.14923918507157,"Inverse Simpson"
"COB1_7","COB1_7",18.403575016191,1.74097004532143,"Inverse Simpson"
"COB2_7","COB2_7",67.0016581426484,5.9316841330245,"Inverse Simpson"
"COB3_7","COB3_7",26.943209808403,3.27037008686644,"Inverse Simpson"
"COB4_7","COB4_7",23.4069635818893,2.04613551372103,"Inverse Simpson"
"COB5_7","COB5_7",48.6743071118075,5.37960706227403,"Inverse Simpson"
"TIB1_7","TIB1_7",24.1084965744944,1.97102458138007,"Inverse Simpson"
"TIB2_7","TIB2_7",30.5078509018659,3.84008053440907,"Inverse Simpson"
"TIB3_7","TIB3_7",31.9270779925357,3.97874074865367,"Inverse Simpson"
