zotu	CIB1_4	CIB2_4	CIB3_4	CIB4_4	CIB5_4	CIB1_5	CIB2_5	CIB3_5	CIB4_5	CIB5_5	CIB1_6	CIB2_6	CIB3_6	CIB4_6	CIB5_6	CIB1_7	CIB2_7	CIB3_7	CIB4_7	CIB5_7	CIB1_8	CIB2_8	CIB3_8	CIB4_8	CIB1_12	CIB2_12	CIB3_12	TOB1_5	TOB2_5	TOB3_5	TOB4_5	TOB5_5	TOB1_6	TOB2_6	TOB3_6	TOB4_6	TOB5_6	TOB1_7	TOB2_7	TOB3_7	TOB4_7	TOB1_8	TOB2_8	TOB3_8	TOB3_12
zOTU17:Endozoicomonas	12	10021	1	1	0	4	4017	11	1	0	1	2062	1	0	0	0	82	0	0	0	1	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
zOTU48:Rubritalea	3	9	0	0	1	12	0	0	4	42	2	6	0	13	1	16	1073	517	58	24	0	0	5	78	3	0	1	0	0	1	0	0	0	2	0	7	5	1	0	0	11	79	1	0	1
zOTU53:Marinimicrobia (SAR406 clade)	7	15	0	3	2	7	29	2	3	2	31	0	0	0	0	0	0	0	0	0	7	59	4	1	21	3	1	0	3	0	0	1	0	4	0	0	2	0	0	4	0	0	0	5	1
zOTU55:CrystalBog021C3	0	0	0	1	67	2	6	0	0	162	0	0	0	0	66	0	170	0	0	4	0	0	0	0	0	47	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
zOTU68:Surface 1	34	42	9	7	2	20	17	2	7	1	15	12	0	1	0	1	13	9	5	0	1	6	2	0	29	1	0	0	0	0	1	0	10	0	0	1	1	11	8	1	0	0	0	0	0
zOTU79:Surface 1 (unclassified)	31	24	9	3	2	32	10	7	1	3	19	11	4	0	0	0	5	2	0	0	8	29	3	0	8	2	1	0	1	1	0	1	5	7	1	12	5	0	3	0	1	0	2	3	0
zOTU81:Surface 1	44	26	9	3	4	12	8	9	1	5	35	0	2	0	0	0	7	3	0	0	5	18	5	0	6	1	0	0	0	0	0	1	3	4	1	4	2	1	0	0	0	0	0	12	0
zOTU90:Endozoicomonas	121	1159	17	4	4	21	522	8	1	0	1	462	0	0	0	0	6	0	0	0	0	1	0	0	5	1	0	0	0	0	0	1	0	4	0	1	0	0	1	0	0	0	2	0	0
zOTU104:Polaribacter 4	83	0	0	73	0	0	0	0	0	0	1	0	1	6	0	0	2	4	461	1	0	0	3	97	4	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
zOTU105:Prochlorococcus	1	10	0	2	0	1	9	1	1	0	5	7	0	0	0	0	0	0	0	0	3	50	2	1	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
zOTU279:Tenacibaculum	0	12	0	0	0	14	15	2	3	13	8	1	6	0	0	2	15	2	10	2	0	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	7	1	0	0	0
