zotu	COB1_4	COB2_4	COB3_4	COB4_4	COB5_4	COB1_5	COB2_5	COB3_5	COB4_5	COB5_5	COB1_6	COB2_6	COB3_6	COB4_6	COB5_6	COB1_7	COB2_7	COB3_7	COB4_7	COB5_7	COB1_8	COB2_8	COB3_8	COB4_8	COB5_8	COB1_12	COB2_12	COB3_12	COB4_12	COB5_12	TIB1_5	TIB2_5	TIB3_5	TIB4_5	TIB5_5	TIB1_6	TIB2_6	TIB3_6	TIB4_6	TIB5_6	TIB1_7	TIB2_7	TIB3_7	TIB4_7	TIB5_7	TIB1_8	TIB2_8	TIB3_8	TIB4_8	TIB5_8	TIB1_12	TIB2_12	TIB3_12	TIB4_12	TIB5_12
zOTU2:Endozoicomonas	2024	6820	5185	11132	7498	1849	1181	3406	3814	4406	2316	6495	4800	7822	790	6283	254	381	1329	1116	2824	418	384	1987	11	364	643	2118	959	1924	78	0	217	1189	799	488	27	987	4298	1603	2128	9	592	288	1262	1680	4	219	1360	1379	437	9	762	1329	213
zOTU11:Endozoicomonas	456	1419	1073	2632	1569	407	246	792	853	987	519	1589	1141	1772	198	1485	45	52	302	241	704	78	97	384	3	79	135	494	209	439	20	0	32	287	173	103	8	259	1187	329	477	3	116	72	252	397	7	48	318	311	90	4	184	274	38
zOTU12:Endozoicomonas	388	1488	1139	2413	1595	377	250	887	912	1239	525	1660	1127	2049	185	1672	73	112	310	224	756	106	121	547	7	94	165	504	220	545	16	3	33	249	188	100	22	293	974	331	517	32	180	74	263	424	9	77	363	330	104	102	207	275	33
zOTU13:Endozoicomonas	485	2172	1261	2880	1822	406	288	693	935	1076	560	1569	1047	1633	155	1220	76	84	270	324	508	82	82	572	38	83	149	399	250	445	24	75	43	255	141	122	14	210	910	344	478	15	78	81	397	370	251	41	199	283	116	297	146	285	43
zOTU18:Endozoicomonas	131	355	270	563	519	113	96	245	262	128	161	412	333	970	376	550	20	32	338	173	291	50	34	355	4	44	91	155	168	168	20	45	20	266	97	67	5	291	674	110	477	50	208	56	91	215	7	121	215	122	34	153	240	243	29
zOTU33:Endozoicomonas	130	803	294	625	337	71	92	152	201	178	64	185	160	336	35	325	9	8	72	76	78	37	15	150	0	67	198	84	35	135	7	2	42	83	141	41	1	70	68	127	71	1	45	15	56	103	0	15	59	69	51	13	120	130	84
zOTU34:Endozoicomonas	68	173	261	517	255	36	10	129	165	212	48	118	105	348	24	342	2	2	21	12	61	4	0	76	0	1	4	8	8	34	0	0	0	13	3	0	1	2	35	12	28	0	2	2	14	48	0	1	31	46	3	0	3	24	3
zOTU82:Endozoicomonas	26	288	42	67	26	3	13	1	3	10	1	16	4	1	1	0	0	1	3	10	1	5	2	9	0	10	51	22	1	16	0	0	2	2	67	5	0	13	1	31	1	0	5	0	5	0	0	0	0	1	8	1	3	6	7
zOTU1435:Endozoicomonas	3	2	5	11	4	12	2	6	6	4	2	6	7	4	1	4	2	0	1	2	3	1	5	3	1	9	3	1	10	1	0	0	0	1	1	0	0	2	7	1	2	0	2	5	4	4	0	0	7	1	2	0	8	15	4
zOTU4:Xanthomonadaceae (unclassified)	201	19	58	236	1	5	0	0	2	0	0	1	0	0	538	0	0	1	1	0	2	3	0	1	1343	0	0	0	0	2	44	1108	1912	17	32	7	2048	403	17	5	3	141	118	2229	6	1	2	3659	45	0	3	1223	3212	1356	1371
