"feature"	"enrich_group"	"log_max_mean"	"lda"	"p_value"
"1"	"zOTU_4"	"IC"	4.9339338344793	4.92837435634783	3.01205400778359e-07
"2"	"zOTU_5"	"IC"	4.77201635290022	4.50994401394511	0.00891466762154133
"3"	"zOTU_17"	"IC"	4.01485983660144	3.97483703652865	0.00432820019362572
"4"	"zOTU_65"	"IC"	3.79304329840619	3.787479449043	2.40307813063783e-07
"5"	"zOTU_90"	"IC"	3.70785925537115	3.64126086238996	0.0318705404631545
"6"	"zOTU_96"	"IC"	3.55712753470391	3.56971654650873	0.00520050092215238
"7"	"zOTU_48"	"IC"	3.64291173557576	3.53725727638142	0.0125887658693275
"8"	"zOTU_104"	"IC"	3.50442926032033	3.50147560664799	0.0030784568974703
"9"	"zOTU_55"	"IC"	3.48292612016197	3.47497391159666	0.0314834849096409
"10"	"zOTU_68"	"IC"	3.4453216680874	3.24534736361352	0.00329347762511127
"11"	"zOTU_1520"	"IC"	3.20297014050546	3.23929210243806	8.35905191012527e-05
"12"	"zOTU_279"	"IC"	3.26209476634119	3.18784637836717	0.0048972766382291
"13"	"zOTU_81"	"IC"	3.39561527113823	3.15367078070465	0.0101792725500156
"14"	"zOTU_79"	"IC"	3.45090036224571	3.08518687536545	0.0178597893318773
"15"	"zOTU_1418"	"IC"	3.15550831801244	3.07461672043706	0.00222318982554156
"16"	"zOTU_53"	"IC"	3.33476707902998	3.04425250685661	0.0468613133007448
"17"	"zOTU_105"	"IC"	3.1549458749806	3.01885024489117	0.00165007623654551
"18"	"zOTU_964"	"IC"	2.99704353994387	3.01698898792522	0.00161992832771123
"19"	"zOTU_2"	"O2I"	4.92830316302045	4.77943862434335	2.74853264857592e-06
"20"	"zOTU_13"	"O2I"	4.59828825448574	4.48799310479551	2.96619204713704e-07
"21"	"zOTU_11"	"O2I"	4.62217834305066	4.45999379252823	7.72185679410431e-06
"22"	"zOTU_12"	"O2I"	4.61798404246491	4.44974418435796	5.44953445513801e-06
"23"	"zOTU_15"	"O2I"	4.50816689880087	4.30076289191612	0.000260026050076115
"24"	"zOTU_1"	"O2I"	4.52484491888176	4.22968112492899	0.0134887776686049
"25"	"zOTU_18"	"O2I"	4.40158558184693	4.17227023453996	0.000130715476126271
"26"	"zOTU_34"	"O2I"	4.11092370468845	4.01695368182496	6.19089552474065e-06
"27"	"zOTU_10"	"O2I"	4.18334653184372	4.00595060643872	0.0170187659165255
"28"	"zOTU_33"	"O2I"	4.17400902143407	3.99687155979221	3.67001830369459e-05
"29"	"zOTU_14"	"O2I"	4.39073339788125	3.94725826716394	0.0175878148005053
"30"	"zOTU_16"	"O2I"	4.23233791514929	3.90749736413318	0.00226682700185516
"31"	"zOTU_22"	"O2I"	4.20050750035222	3.77509906992412	0.0187526785908989
"32"	"zOTU_26"	"O2I"	4.097710698635	3.58931636882312	0.0272314069238195
"33"	"zOTU_51"	"O2I"	3.92022729458829	3.46769108203992	0.0490319696800631
"34"	"zOTU_47"	"O2I"	3.78122320255934	3.43192868832157	0.0129291096539745
"35"	"zOTU_82"	"O2I"	3.74616792054417	3.4182828635383	0.00122047081034841
"36"	"zOTU_188"	"O2I"	3.58045307764608	3.41675270235342	0.0117241179152593
"37"	"zOTU_124"	"O2I"	3.46156745674434	3.34876516265619	3.56764650797399e-05
"38"	"zOTU_113"	"O2I"	3.29196775975229	3.20992773189355	0.00324235707512605
"39"	"zOTU_1489"	"O2I"	3.38540403100649	3.18807997996142	0.0387308022017425
"40"	"zOTU_1435"	"O2I"	3.51957645737487	3.11972140725465	0.0154843265216744
"41"	"zOTU_1944"	"O2I"	3.28561557529685	3.11689974164263	0.00345233008149576
"42"	"zOTU_496"	"O2I"	3.02849518379994	3.02326233856289	0.010610960294251
