"feature"	"enrich_group"	"log_max_mean"	"lda"	"p_value"
"1"	"zOTU_2"	"CO"	4.89462276639513	4.61792902567175	0.000922994359089762
"2"	"zOTU_12"	"CO"	4.58701947905494	4.30007198799983	0.000922994359089762
"3"	"zOTU_11"	"CO"	4.56858129984842	4.28766613497116	0.00117288905681384
"4"	"zOTU_13"	"CO"	4.57978464392579	4.27198849193538	0.00166670345632278
"5"	"zOTU_34"	"CO"	4.1188877733449	3.97920263157882	0.000351171593925325
"6"	"zOTU_33"	"CO"	4.24903452641473	3.84647449886597	0.00318142796581072
"7"	"zOTU_18"	"CO"	4.36092504878218	3.82268250596866	0.0318178254618853
"8"	"zOTU_82"	"CO"	3.65891539009639	3.229565668055	0.0147604678493303
"9"	"zOTU_1435"	"CO"	3.46408145689727	3.04284136023328	0.0188706685289854
"10"	"zOTU_5"	"I2O"	4.60779972169355	4.40610051410707	0.000596705320835755
"11"	"zOTU_4"	"I2O"	4.38631429446306	4.30719921888419	2.28591637435123e-05
"12"	"zOTU_20"	"I2O"	4.25078934406109	4.08259740586216	0.0235282587212976
"13"	"zOTU_50"	"I2O"	3.85576100128792	3.65797283622951	0.010424089258985
"14"	"zOTU_46"	"I2O"	3.85440644963195	3.64347802256433	0.0176468431934666
"15"	"zOTU_65"	"I2O"	3.60137956733899	3.56755616943583	1.74671405029056e-07
"16"	"zOTU_61"	"I2O"	3.38049155933573	3.44316785010654	0.024296951794044
"17"	"zOTU_96"	"I2O"	3.32337719637356	3.3706597124318	0.00406613081690544
"18"	"zOTU_59"	"I2O"	3.23136190133933	3.29247884751953	0.0456323843851676
"19"	"zOTU_66"	"I2O"	3.26533934302996	3.25046135568873	0.00814105337063114
"20"	"zOTU_323"	"I2O"	3.16217691668418	3.11936185052744	0.00101688282600936
"21"	"zOTU_132"	"I2O"	3.16759643472629	3.05196354509736	0.0257181078753629
"22"	"zOTU_237"	"I2O"	2.97323826414114	3.04016802283387	0.0456323843851676
