"","Sample","mean","sd","measure"
"OB1_4","OB1_4",58,3.15908182543567,"Richness"
"OB2_4","OB2_4",63.38,3.81326764088362,"Richness"
"OB3_4","OB3_4",54.04,3.31790368282216,"Richness"
"OB4_4","OB4_4",53.92,3.66991591569655,"Richness"
"OB5_4","OB5_4",58.42,3.7770706408886,"Richness"
"IB1_4","IB1_4",131.87,6.70994287109312,"Richness"
"IB2_4","IB2_4",138.84,6.54081204608589,"Richness"
"IB3_4","IB3_4",75.45,4.37249206616626,"Richness"
"IB4_4","IB4_4",74.57,5.06175000679737,"Richness"
"IB5_4","IB5_4",73.83,4.56834740139123,"Richness"
"COB1_5","COB1_5",36.24,2.39156767823868,"Richness"
"COB2_5","COB2_5",57.99,4.29586364360468,"Richness"
"COB3_5","COB3_5",39.29,2.74614514024899,"Richness"
"COB4_5","COB4_5",36.59,2.42084800235476,"Richness"
"COB5_5","COB5_5",43.67,2.80351510958956,"Richness"
"TIB1_5","TIB1_5",98.95,5.16471126242721,"Richness"
"TIB2_5","TIB2_5",108.36,5.4818709480349,"Richness"
"TIB3_5","TIB3_5",83.33,4.61235713966713,"Richness"
"TIB4_5","TIB4_5",102.36,6.10103485177935,"Richness"
"TIB5_5","TIB5_5",67.86,4.25932132878211,"Richness"
"CIB1_5","CIB1_5",162.37,6.28876664049366,"Richness"
"CIB2_5","CIB2_5",164.22,6.77127026562232,"Richness"
"CIB3_5","CIB3_5",108.8,5.15614764973411,"Richness"
"CIB4_5","CIB4_5",102.69,6.13105194724347,"Richness"
"CIB5_5","CIB5_5",103.29,5.57101989103096,"Richness"
"TOB1_5","TOB1_5",49.01,3.01677130238755,"Richness"
"TOB2_5","TOB2_5",52.48,3.07968252332029,"Richness"
"TOB3_5","TOB3_5",59.14,3.48161114451573,"Richness"
"TOB4_5","TOB4_5",44.58,2.99217835583565,"Richness"
"TOB5_5","TOB5_5",47.73,2.81358536857559,"Richness"
"COB1_6","COB1_6",51.03,2.96598562152124,"Richness"
"COB2_6","COB2_6",61.44,4.04849392123825,"Richness"
"COB3_6","COB3_6",41.59,2.68589657359333,"Richness"
"COB4_6","COB4_6",44.53,3.48577194615569,"Richness"
"COB5_6","COB5_6",106.76,5.12100053355264,"Richness"
"TIB1_6","TIB1_6",49.56,2.91745011122986,"Richness"
"TIB2_6","TIB2_6",206.29,6.89502089418974,"Richness"
"TIB3_6","TIB3_6",97.47,5.04015191369579,"Richness"
"TIB4_6","TIB4_6",78.25,4.67612677503098,"Richness"
"TIB5_6","TIB5_6",52.14,4.00005050473166,"Richness"
"CIB1_6","CIB1_6",168.42,5.95637337969874,"Richness"
"CIB2_6","CIB2_6",136.82,5.54391102877287,"Richness"
"CIB3_6","CIB3_6",88.99,4.33798119037886,"Richness"
"CIB4_6","CIB4_6",69.45,4.23161501752766,"Richness"
"CIB5_6","CIB5_6",48.94,2.98081407089616,"Richness"
"TOB1_6","TOB1_6",96.01,5.28862893003432,"Richness"
"TOB2_6","TOB2_6",138.95,6.54799684073401,"Richness"
"TOB3_6","TOB3_6",79.64,5.28867667853699,"Richness"
"TOB4_6","TOB4_6",107.4,5.67468238776587,"Richness"
"TOB5_6","TOB5_6",143.95,6.61094134405574,"Richness"
"COB1_7","COB1_7",61.91,3.31234300180645,"Richness"
"COB2_7","COB2_7",137.13,6.27751317937061,"Richness"
"COB3_7","COB3_7",85.3,4.12065504256277,"Richness"
"COB4_7","COB4_7",59.93,3.25748555195754,"Richness"
"COB5_7","COB5_7",123.93,5.26519925855833,"Richness"
"TIB1_7","TIB1_7",66.56,4.20994493593875,"Richness"
"TIB2_7","TIB2_7",115.33,5.03935020662888,"Richness"
"TIB3_7","TIB3_7",93.51,4.76836163973253,"Richness"
"TIB4_7","TIB4_7",108.77,6.14776792869172,"Richness"
"TIB5_7","TIB5_7",109.63,5.04255627012468,"Richness"
"CIB1_7","CIB1_7",124.17,6.03366816415616,"Richness"
"CIB2_7","CIB2_7",205.87,7.08342067682334,"Richness"
"CIB3_7","CIB3_7",196.75,6.92291612521542,"Richness"
"CIB4_7","CIB4_7",139.21,6.47964177835145,"Richness"
"CIB5_7","CIB5_7",80.63,4.59831985126584,"Richness"
"TOB1_7","TOB1_7",111.84,5.92157500206242,"Richness"
"TOB2_7","TOB2_7",132.95,5.39055477739359,"Richness"
"TOB3_7","TOB3_7",106.31,5.78345777527457,"Richness"
"TOB4_7","TOB4_7",122.81,5.42104950888458,"Richness"
"COB1_8","COB1_8",158.11,6.82374789639355,"Richness"
"COB2_8","COB2_8",146.27,5.25098355385239,"Richness"
"COB3_8","COB3_8",155.42,6.26869728544661,"Richness"
"COB4_8","COB4_8",81.45,4.17877029903789,"Richness"
"COB5_8","COB5_8",145.35,6.61857655055493,"Richness"
"TIB1_8","TIB1_8",119.47,4.68061767485679,"Richness"
"TIB2_8","TIB2_8",133.68,5.64233635969707,"Richness"
"TIB3_8","TIB3_8",160.7,6.65832811847939,"Richness"
"TIB4_8","TIB4_8",172.89,6.43992439882847,"Richness"
"TIB5_8","TIB5_8",132.64,5.85949975456415,"Richness"
"CIB1_8","CIB1_8",134.3,6.22555826874793,"Richness"
"CIB2_8","CIB2_8",181.48,5.71985731262308,"Richness"
"CIB3_8","CIB3_8",111.88,5.83836146932208,"Richness"
"CIB4_8","CIB4_8",159.7,5.92119971463605,"Richness"
"TOB1_8","TOB1_8",219.2,5.72607009980482,"Richness"
"TOB2_8","TOB2_8",116.89,6.54725634571961,"Richness"
"TOB3_8","TOB3_8",120.64,5.57142783142778,"Richness"
"COB1_12","COB1_12",205.14,6.28935287577026,"Richness"
"COB2_12","COB2_12",113.81,5.45818817757488,"Richness"
"COB3_12","COB3_12",83.44,4.68679641184259,"Richness"
"COB4_12","COB4_12",166.31,7.24142823124574,"Richness"
"COB5_12","COB5_12",120.42,5.77731544381763,"Richness"
"TIB1_12","TIB1_12",105.95,5.20562050561553,"Richness"
"TIB2_12","TIB2_12",151.14,5.75250494404943,"Richness"
"TIB3_12","TIB3_12",105.04,5.72769278562185,"Richness"
"TIB4_12","TIB4_12",100.53,5.0820639249594,"Richness"
"TIB5_12","TIB5_12",59.41,3.41445234971655,"Richness"
"CIB1_12","CIB1_12",139.45,6.23832242407097,"Richness"
"CIB2_12","CIB2_12",89.31,5.72200254555284,"Richness"
"CIB3_12","CIB3_12",72.34,3.85394983010019,"Richness"
"TOB3_12","TOB3_12",139.34,6.58774497369045,"Richness"
"SWOB_4","SWOB_4",170.14,7.13650453441298,"Richness"
"SWIB_4","SWIB_4",191.14,7.17039367500456,"Richness"
"SWOB_5","SWOB_5",187.85,6.76798016808232,"Richness"
"SWIB_5","SWIB_5",211.63,6.22905378938977,"Richness"
"SWOB_6","SWOB_6",165.1,6.42674336682509,"Richness"
"SWIB_6","SWIB_6",206.09,6.63796092580585,"Richness"
"SWOB_7","SWOB_7",150.7,5.36825686961623,"Richness"
"SWIB_7","SWIB_7",202.64,7.17391458724248,"Richness"
"SWOB_8","SWOB_8",256.82,6.34588867143941,"Richness"
"SWIB_8","SWIB_8",218.44,7.31446608724206,"Richness"
"SWOB_12","SWOB_12",194.98,7.11944272021797,"Richness"
"SWIB_12","SWIB_12",209.66,6.98804173375684,"Richness"
