"","Sample","mean","sd","measure"
"OB1_4","OB1_4",3.4291704608485,0.0673606094610593,"Shannon"
"OB2_4","OB2_4",3.5701016013312,0.0602926300216238,"Shannon"
"OB3_4","OB3_4",3.38831695083009,0.0652788956521576,"Shannon"
"OB4_4","OB4_4",3.36234404384499,0.0729811008715811,"Shannon"
"OB5_4","OB5_4",3.41901605612609,0.0744258525772599,"Shannon"
"IB1_4","IB1_4",4.04457026175336,0.104732158875693,"Shannon"
"IB2_4","IB2_4",4.32225864238701,0.0855475088101272,"Shannon"
"IB3_4","IB3_4",3.25448165266157,0.0908130942924777,"Shannon"
"IB4_4","IB4_4",3.52505033703025,0.0818786180617374,"Shannon"
"IB5_4","IB5_4",3.33026721418089,0.0873589551908505,"Shannon"
"COB1_5","COB1_5",2.77336288759672,0.0675208221430776,"Shannon"
"COB2_5","COB2_5",3.20683720706396,0.0817212644504127,"Shannon"
"COB3_5","COB3_5",2.89968289730054,0.0699219585324048,"Shannon"
"COB4_5","COB4_5",2.94508821201543,0.0647887950245921,"Shannon"
"COB5_5","COB5_5",3.07864598111911,0.0709369512998151,"Shannon"
"TIB1_5","TIB1_5",3.73309096540714,0.105159462929322,"Shannon"
"TIB2_5","TIB2_5",4.15194225005771,0.0697433411855435,"Shannon"
"TIB3_5","TIB3_5",3.41052406064748,0.0966306650061299,"Shannon"
"TIB4_5","TIB4_5",3.93231985347464,0.0960981274337211,"Shannon"
"TIB5_5","TIB5_5",3.51820148936343,0.0701557134538441,"Shannon"
"CIB1_5","CIB1_5",4.63336565231107,0.0819931569454345,"Shannon"
"CIB2_5","CIB2_5",4.69124160616544,0.0691960032338815,"Shannon"
"CIB3_5","CIB3_5",3.81653489634314,0.0878180342763301,"Shannon"
"CIB4_5","CIB4_5",3.88309880892965,0.0876853058855415,"Shannon"
"CIB5_5","CIB5_5",4.05367925055661,0.073052381942963,"Shannon"
"TOB1_5","TOB1_5",3.07001168994144,0.0721629791074836,"Shannon"
"TOB2_5","TOB2_5",3.03273594566197,0.0765938933595615,"Shannon"
"TOB3_5","TOB3_5",3.26083591691868,0.0733842204407376,"Shannon"
"TOB4_5","TOB4_5",3.07165299366,0.0707014186641504,"Shannon"
"TOB5_5","TOB5_5",3.07333313293685,0.0723607352577732,"Shannon"
"COB1_6","COB1_6",3.18107592277913,0.086098462864965,"Shannon"
"COB2_6","COB2_6",3.39766502873177,0.0877419790786557,"Shannon"
"COB3_6","COB3_6",2.96564295756808,0.0652896672960509,"Shannon"
"COB4_6","COB4_6",3.03732350066779,0.0643659571575877,"Shannon"
"COB5_6","COB5_6",4.14096430011408,0.0703832115773757,"Shannon"
"TIB1_6","TIB1_6",3.12869808314725,0.0693728016027923,"Shannon"
"TIB2_6","TIB2_6",5.07760849805628,0.0695261546064285,"Shannon"
"TIB3_6","TIB3_6",4.07265574612112,0.0726175828797418,"Shannon"
"TIB4_6","TIB4_6",3.60996352299097,0.0932654413616631,"Shannon"
"TIB5_6","TIB5_6",3.26241565299065,0.0668412116467112,"Shannon"
"CIB1_6","CIB1_6",4.74021573470921,0.0698163125604034,"Shannon"
"CIB2_6","CIB2_6",4.46146492455901,0.0753453500392105,"Shannon"
"CIB3_6","CIB3_6",3.4195422056704,0.105846577701547,"Shannon"
"CIB4_6","CIB4_6",3.4969773397798,0.0774172754836295,"Shannon"
"CIB5_6","CIB5_6",3.3509436966276,0.058895719494869,"Shannon"
"TOB1_6","TOB1_6",4.03081736481213,0.0758365609748776,"Shannon"
"TOB2_6","TOB2_6",4.53478730453168,0.0652664503807472,"Shannon"
"TOB3_6","TOB3_6",3.66137948192785,0.0803988957186298,"Shannon"
"TOB4_6","TOB4_6",4.03263930331835,0.0878098970912834,"Shannon"
"TOB5_6","TOB5_6",4.43600085450357,0.0853345861724842,"Shannon"
"COB1_7","COB1_7",3.38968231665034,0.0735404335230861,"Shannon"
"COB2_7","COB2_7",4.56396110857068,0.0626705556021594,"Shannon"
"COB3_7","COB3_7",3.93999075133122,0.0705441808808325,"Shannon"
"COB4_7","COB4_7",3.52707344255192,0.0575081215570969,"Shannon"
"COB5_7","COB5_7",4.37708825026365,0.0709835154758701,"Shannon"
"TIB1_7","TIB1_7",3.56730796451072,0.0771820049962142,"Shannon"
"TIB2_7","TIB2_7",4.16441674300645,0.0799381322859872,"Shannon"
"TIB3_7","TIB3_7",3.97734901456022,0.0697303998340537,"Shannon"
"TIB4_7","TIB4_7",4.18760827254687,0.0753946277214412,"Shannon"
"TIB5_7","TIB5_7",4.15900139250951,0.0784336124271534,"Shannon"
"CIB1_7","CIB1_7",4.31697192474418,0.0793503347817774,"Shannon"
"CIB2_7","CIB2_7",5.10410172507874,0.055802357587244,"Shannon"
"CIB3_7","CIB3_7",4.95403399420808,0.0751374607310773,"Shannon"
"CIB4_7","CIB4_7",4.39924625666002,0.081214817767868,"Shannon"
"CIB5_7","CIB5_7",3.70110685050563,0.0721406477112894,"Shannon"
"TOB1_7","TOB1_7",4.19445087364609,0.0698974913896878,"Shannon"
"TOB2_7","TOB2_7",4.44384171719252,0.0785040162963583,"Shannon"
"TOB3_7","TOB3_7",4.02095606160302,0.0809204568374249,"Shannon"
"TOB4_7","TOB4_7",4.39736913984244,0.0690658802578046,"Shannon"
"COB1_8","COB1_8",4.70395138487255,0.0628517208896219,"Shannon"
"COB2_8","COB2_8",4.66975983227866,0.0527700801902685,"Shannon"
"COB3_8","COB3_8",4.56809455821512,0.0826641442137569,"Shannon"
"COB4_8","COB4_8",3.7730436120009,0.0747829926786439,"Shannon"
"COB5_8","COB5_8",4.44367823783342,0.074909350979836,"Shannon"
"TIB1_8","TIB1_8",4.24550498714421,0.0702793309695636,"Shannon"
"TIB2_8","TIB2_8",4.33589389154742,0.0753496218894644,"Shannon"
"TIB3_8","TIB3_8",4.74744998195232,0.0721250396178148,"Shannon"
"TIB4_8","TIB4_8",4.85097472287575,0.0698035512479047,"Shannon"
"TIB5_8","TIB5_8",4.43455011168472,0.0631798496378453,"Shannon"
"CIB1_8","CIB1_8",4.40775052485868,0.0820077551152514,"Shannon"
"CIB2_8","CIB2_8",4.91551945836386,0.0592236664585392,"Shannon"
"CIB3_8","CIB3_8",4.02127128335211,0.0819323929003497,"Shannon"
"CIB4_8","CIB4_8",4.73495692508579,0.0695602090836452,"Shannon"
"TOB1_8","TOB1_8",5.22106372380037,0.0476970126939263,"Shannon"
"TOB2_8","TOB2_8",4.23117439945437,0.0704454977906891,"Shannon"
"TOB3_8","TOB3_8",4.29547255431163,0.0656038471722592,"Shannon"
"COB1_12","COB1_12",5.00182522661518,0.0777059803726654,"Shannon"
"COB2_12","COB2_12",4.2320814334115,0.0729028767049196,"Shannon"
"COB3_12","COB3_12",3.83126493860831,0.0675355383286352,"Shannon"
