	E.arenosclerae_CABS5572	E.elysicola	E.acroporae_Acr14	E.acroporae_Acr1	E.atrinae_WP70	E.montiporae_CL-33	E.numazuensis_HC50	E.acroporae_Acr5	Candidatus_Endozoicomonas_penghunesis_4G_contig	E.ascidiicola_AVMART05
E.arenosclerae_CABS5572	1	0.781056867	0.77368867	0.774298913	0.777671527	0.788175209	0.808683752	0.774704373	0.808635369	0.782928069
E.elysicola	0.781056867	1	0.812908985	0.814162396	0.861377096	0.782521669	0.78371845	0.814014767	0.783565384	0.785337032
E.acroporae_Acr14	0.77368867	0.812908985	1	0.990798682	0.8542112	0.778764828	0.773413542	0.990861127	0.77379659	0.787666885
E.acroporae_Acr1	0.774298913	0.814162396	0.990798682	1	0.854235437	0.77413911	0.771497258	0.999653609	0.776657732	0.788141786
E.atrinae_WP70	0.777671527	0.861377096	0.8542112	0.854235437	1	0.779536193	0.7772841	0.853779096	0.7803866	0.791652936
E.montiporae_CL-33	0.788175209	0.782521669	0.778764828	0.77413911	0.779536193	1	0.791829143	0.775247738	0.786444096	0.777285215
E.numazuensis_HC50	0.808683752	0.78371845	0.773413542	0.771497258	0.7772841	0.791829143	1	0.773825058	0.812193331	0.777430075
E.acroporae_Acr5	0.774704373	0.814014767	0.990861127	0.999653609	0.853779096	0.775247738	0.773825058	1	0.777061863	0.787279833
Candidatus_Endozoicomonas_penghunesis_4G_contig	0.808635369	0.783565384	0.77379659	0.776657732	0.7803866	0.786444096	0.812193331	0.777061863	1	0.788106995
E.ascidiicola_AVMART05	0.782928069	0.785337032	0.787666885	0.788141786	0.791652936	0.777285215	0.777430075	0.787279833	0.788106995	1
